vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,vendor_product,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,service_dependents,effective_internet_exposed,exposure_conflict,is_synthetic_cve,edr_missing,asset_stale,exploit_available_flag,patch_available_flag,auth_required_flag,ti_match_count,ti_intel_ids,ti_actors,ti_campaigns,ti_ransomware,ti_best_maturity,ti_profile_targeted,ti_last_seen,ti_summaries,in_kev,kev_ransomware,kev_date_added,kev_required_action,actively_exploited,ransomware_linked
V-2001,A-1001,Remote Code Execution in Web Framework,CVE-SYN-2026-0001,Critical,9.8,Yes,Yes,18,Internet,No,Open,Web Framework,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,nginx 1.22 / Ubuntu 22.04,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,True,False,False,True,True,False,1,TI-3003,ShadowMint,Portal Crush,False,Weaponized,True,2026-04-20,Campaign targets internet-facing customer portals running vulnerable web frameworks. CVE-SYN-2026-0001 observed in exploitation attempts across UAE-hosted portals.,False,False,,,True,False
V-2002,A-1001,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,42,Internet,No,Open,OpenSSH,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,nginx 1.22 / Ubuntu 22.04,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2003,A-1001,Outdated TLS Configuration,CVE-SYN-2025-0182,Medium,5.9,No,Yes,74,Internet,No,Open,TLS,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,nginx 1.22 / Ubuntu 22.04,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2004,A-1001,Missing HTTP Security Headers,CVE-SYN-2024-0901,Low,3.7,No,Yes,120,Internet,No,Open,HTTP Config,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,nginx 1.22 / Ubuntu 22.04,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2005,A-1002,API Authentication Bypass,CVE-SYN-2026-0002,Critical,9.6,Yes,Yes,9,Internet,No,Open,API Gateway,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,Node.js 18 / Ubuntu 22.04,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,1,True,False,True,False,False,True,True,False,1,TI-3004,BlueRaven,API Ghost,False,Proof of Concept,True,2026-04-18,Researchers have observed proof-of-concept exploitation of API authentication bypass vulnerabilities against exposed payment and identity gateways. No confirmed ransomware link.,False,False,,,False,False
V-2006,A-1002,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,39,Internet,No,Open,OpenSSH,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,Node.js 18 / Ubuntu 22.04,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,1,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2007,A-1002,Verbose API Error Disclosure,CVE-SYN-2024-0144,Low,3.1,No,Yes,120,Internet,No,Open,Application Config,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,Node.js 18 / Ubuntu 22.04,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,1,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2008,A-1002,Unvalidated Redirect in OAuth Flow,CVE-SYN-2025-0312,Medium,6.1,No,Yes,55,Internet,No,Open,OAuth Handler,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,Node.js 18 / Ubuntu 22.04,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,1,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2009,A-1003,Payment API Insecure Direct Object Reference,CVE-SYN-2026-0010,Critical,9.1,Yes,Yes,11,Internet,No,Open,Payment Handler,payment-api-prod-01,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,True,False,False,True,True,False,1,TI-3018,IronVeil,CitrixBleed Exploitation,True,Active Exploitation,True,2026-04-20,IronVeil also targeting payment API IDOR vulnerabilities in tandem with CitrixBleed to escalate access post-session-hijack.,False,False,,,True,True
V-2010,A-1003,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,41,Internet,No,Open,OpenSSH,payment-api-prod-01,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2011,A-1003,Missing Rate Limiting on Payment Endpoint,CVE-SYN-2025-0410,Medium,6.5,No,Yes,88,Internet,No,Open,API Rate Limiting,payment-api-prod-01,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2012,A-1004,Outdated Node.js Runtime,CVE-SYN-2024-0777,Medium,6.2,No,Yes,95,Internet,No,Open,Node.js Runtime,payment-api-prod-02,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2013,A-1004,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,41,Internet,No,Open,OpenSSH,payment-api-prod-02,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2014,A-1004,Container Running as Root,CONTAINER-SYN-001,High,7.9,No,Yes,60,Internal,Yes,Open,Container Config,payment-api-prod-02,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,True,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2015,A-1005,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3001,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Active exploitation of Fortinet SSL-VPN CVE-2024-21762 observed against financial services and fintech firms in the Gulf region. Initial access leads to internal lateral movement and ransomware staging.,True,True,2024-02-09,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2016,A-1005,Fortinet FortiOS Authentication Bypass,CVE-2024-55591,Critical,9.8,Yes,Yes,14,Internet,No,Open,VPN Auth Module,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3002,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Same CrimsonJackal campaign also exploiting Fortinet authentication bypass CVE-2024-55591 in parallel with CVE-2024-21762 for redundant access.,True,True,2025-01-14,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2017,A-1005,Weak Admin Password Policy,CVE-SYN-2024-0220,High,7.8,No,Yes,60,Internet,Yes,Open,Authentication Policy,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,True,True,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2018,A-1005,VPN Management Plane Internet-Exposed,CTRL-SYN-002,High,8.3,No,Yes,120,Internet,No,Open,Network Configuration,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,True,True,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2019,A-1006,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3001,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Active exploitation of Fortinet SSL-VPN CVE-2024-21762 observed against financial services and fintech firms in the Gulf region. Initial access leads to internal lateral movement and ransomware staging.,True,True,2024-02-09,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
