vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,vendor_product,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,service_dependents,effective_internet_exposed,exposure_conflict,is_synthetic_cve,edr_missing,asset_stale,exploit_available_flag,patch_available_flag,auth_required_flag,ti_match_count,ti_intel_ids,ti_actors,ti_campaigns,ti_ransomware,ti_best_maturity,ti_profile_targeted,ti_last_seen,ti_summaries,in_kev,kev_ransomware,kev_date_added,kev_required_action,actively_exploited,ransomware_linked,likelihood,likelihood_breakdown,impact,impact_breakdown,risk_score
V-2064,A-1021,Citrix ADC Session Token Leak (CitrixBleed),CVE-2023-4966,Critical,9.4,Yes,Yes,180,Internet,No,Open,NetScaler ADC,load-balancer-prod-01,Load Balancer,Production,Network Team,Customer Login,Yes,High,Internal Access,No,1,Citrix NetScaler ADC 13.0,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,False,True,False,True,True,False,1,TI-3017,IronVeil,CitrixBleed Exploitation,True,Active Exploitation,True,2026-04-20,IronVeil group actively exploiting Citrix NetScaler CitrixBleed CVE-2023-4966 to harvest session tokens from load balancers protecting financial portals. Tokens used to bypass MFA.,True,True,2023-10-18,Apply mitigations and kill all active and persistent sessions per vendor instructions [https://www.netscaler.com/blog/news/cve-2023-4966-critical-security-update-now-available-for-netscaler-adc-and-netscaler-gateway/] OR discontinue use of the product if mitigations are unavailable.,True,True,0.9759999999999998,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""IronVeil"", ""ti_maturity"": ""Active Exploitation""}, ""cvss_multiplier"": {""cvss"": 9.4, ""value"": 0.976}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.79,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""1"", ""score"": 1.0, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 3, ""value"": 0.15}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Load Balancer"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",77.1
V-2066,A-1022,Citrix ADC Session Token Leak (CitrixBleed),CVE-2023-4966,Critical,9.4,Yes,Yes,180,Internet,No,Open,NetScaler ADC,load-balancer-prod-02,Load Balancer,Production,Network Team,Payment Processing,Yes,High,Internal Access,No,1,Citrix NetScaler ADC 13.0,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,False,True,False,True,True,False,1,TI-3017,IronVeil,CitrixBleed Exploitation,True,Active Exploitation,True,2026-04-20,IronVeil group actively exploiting Citrix NetScaler CitrixBleed CVE-2023-4966 to harvest session tokens from load balancers protecting financial portals. Tokens used to bypass MFA.,True,True,2023-10-18,Apply mitigations and kill all active and persistent sessions per vendor instructions [https://www.netscaler.com/blog/news/cve-2023-4966-critical-security-update-now-available-for-netscaler-adc-and-netscaler-gateway/] OR discontinue use of the product if mitigations are unavailable.,True,True,0.9759999999999998,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""IronVeil"", ""ti_maturity"": ""Active Exploitation""}, ""cvss_multiplier"": {""cvss"": 9.4, ""value"": 0.976}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.742,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""compliance"": {""input"": ""PCI DSS"", ""score"": 1.0, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""1"", ""score"": 1.0, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 1, ""value"": 0.05}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Load Balancer"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",72.4
V-2009,A-1003,Payment API Insecure Direct Object Reference,CVE-SYN-2026-0010,Critical,9.1,Yes,Yes,11,Internet,No,Open,Payment Handler,payment-api-prod-01,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,Node.js 20 / Ubuntu 22.04,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,1,True,False,True,False,False,True,True,False,1,TI-3018,IronVeil,CitrixBleed Exploitation,True,Active Exploitation,True,2026-04-20,IronVeil also targeting payment API IDOR vulnerabilities in tandem with CitrixBleed to escalate access post-session-hijack.,False,False,,,True,True,0.8033333333333332,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""IronVeil"", ""ti_maturity"": ""Active Exploitation""}, ""cvss_multiplier"": {""cvss"": 9.1, ""value"": 0.964}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.8399999999999999,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""compliance"": {""input"": ""PCI DSS"", ""score"": 1.0, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""1"", ""score"": 1.0, ""weight"": 0.1}, ""data_classification"": {""input"": ""Payment Card Data"", ""score"": 1.0, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 1, ""value"": 0.05}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""API Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",67.5
V-2019,A-1006,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3001,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Active exploitation of Fortinet SSL-VPN CVE-2024-21762 observed against financial services and fintech firms in the Gulf region. Initial access leads to internal lateral movement and ransomware staging.,True,True,2024-02-09,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True,0.9919999999999999,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""CrimsonJackal"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.638,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": true, ""asset_type"": ""VPN Gateway"", ""value"": 0.1}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",63.3
V-2015,A-1005,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3001,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Active exploitation of Fortinet SSL-VPN CVE-2024-21762 observed against financial services and fintech firms in the Gulf region. Initial access leads to internal lateral movement and ransomware staging.,True,True,2024-02-09,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True,0.9919999999999999,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""CrimsonJackal"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.638,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": true, ""asset_type"": ""VPN Gateway"", ""value"": 0.1}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",63.3
V-2016,A-1005,Fortinet FortiOS Authentication Bypass,CVE-2024-55591,Critical,9.8,Yes,Yes,14,Internet,No,Open,VPN Auth Module,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3002,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Same CrimsonJackal campaign also exploiting Fortinet authentication bypass CVE-2024-55591 in parallel with CVE-2024-21762 for redundant access.,True,True,2025-01-14,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True,0.9919999999999999,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""CrimsonJackal"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.638,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": true, ""asset_type"": ""VPN Gateway"", ""value"": 0.1}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",63.3
V-2020,A-1006,Fortinet FortiOS Authentication Bypass,CVE-2024-55591,Critical,9.8,Yes,Yes,14,Internet,No,Open,VPN Auth Module,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3002,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Same CrimsonJackal campaign also exploiting Fortinet authentication bypass CVE-2024-55591 in parallel with CVE-2024-21762 for redundant access.,True,True,2025-01-14,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True,0.9919999999999999,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""CrimsonJackal"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.638,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": true, ""asset_type"": ""VPN Gateway"", ""value"": 0.1}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",63.3
V-2001,A-1001,Remote Code Execution in Web Framework,CVE-SYN-2026-0001,Critical,9.8,Yes,Yes,18,Internet,No,Open,Web Framework,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,nginx 1.22 / Ubuntu 22.04,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,True,False,False,True,True,False,1,TI-3003,ShadowMint,Portal Crush,False,Weaponized,True,2026-04-20,Campaign targets internet-facing customer portals running vulnerable web frameworks. CVE-SYN-2026-0001 observed in exploitation attempts across UAE-hosted portals.,False,False,,,True,False,0.7026666666666666,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""actively_exploited"", ""value"": 0.85, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""ShadowMint"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.8799999999999999,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""1"", ""score"": 1.0, ""weight"": 0.1}, ""data_classification"": {""input"": ""Customer PII"", ""score"": 0.9, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 3, ""value"": 0.15}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",61.8
V-2024,A-1008,Kong Gateway Admin API Exposed,CVE-SYN-2026-0011,Critical,9.3,Yes,Yes,5,Internet,No,Open,API Admin Interface,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,Kong Gateway 3.4 / Ubuntu 22.04,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,0,True,False,True,False,False,True,True,False,1,TI-3023,WinterViper,Kong Gateway Exploit,True,Weaponized,True,2026-04-24,"WinterViper group targeting exposed API gateway admin interfaces, particularly Kong. Exploitation provides full control over all proxied routes, enabling traffic interception and partner impersonation.",False,False,,,True,True,0.8099999999999998,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""WinterViper"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.3, ""value"": 0.972}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.7339999999999999,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""PCI DSS, ISO 27001"", ""score"": 1.0, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Payment Card Data"", ""score"": 1.0, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""API Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",59.5
V-2068,A-1023,Cisco ASA Denial of Service,CVE-2024-20353,High,8.6,Yes,Yes,30,Internet,No,Open,VPN IKEv1,network-firewall-01,Firewall,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Cisco ASA 9.18,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,0,,,,False,Not Applicable,False,,,True,False,2024-04-24,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,False,0.7294545454545452,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""actively_exploited"", ""value"": 0.85, ""in_kev"": true, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 8.6, ""value"": 0.944}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.638,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": true, ""asset_type"": ""Firewall"", ""value"": 0.1}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",46.5
